Efermi (eV)	Density of charge (1/atom)	n	m	family	diameter (nm)	Ei	Ej	Plasmon freq w_p (eV)	branches	ratio	Absorption(w_p)
2.0	0.085	6	1	13	0.51	2	4	1.749	branch1	1.00	1.60
1.25	0.021	7	0	14	0.55	1	3	1.821	branch1	1.00	0.83
1.5	0.029	7	0	14	0.55	1	3	1.845	branch1	1.00	1.19
1.75	0.036	7	0	14	0.55	1	3	1.869	branch1	1.00	1.52
2.0	0.073	7	0	14	0.55	1	3	1.933	branch1	1.00	2.67
2.0	0.076	6	2	14	0.56	1	3	2.230	branch1	1.00	1.37
2.0	0.076	6	2	14	0.56	9	11	0.193	branch2	0.62	0.08
1.75	0.065	8	0	16	0.63	1	2	1.492	branch1	0.12	1.17
1.75	0.065	8	0	16	0.63	2	4	1.492	branch1	1.00	1.17
1.75	0.062	8	1	17	0.67	1	3	1.717	branch1	1.00	1.55
2.0	0.080	8	1	17	0.67	1	3	1.733	branch1	1.00	1.60
1.5	0.035	8	1	17	0.67	1	3	1.684	branch1	1.00	0.99
1.75	0.061	6	4	16	0.68	1	3	2.374	branch1	1.00	1.91
2.0	0.075	6	4	16	0.68	2	4	2.406	branch1	0.37	2.96
2.0	0.075	6	4	16	0.68	1	3	2.406	branch1	1.00	2.96
1.75	0.061	6	4	16	0.68	2	4	2.374	branch1	0.24	1.91
2.0	0.059	9	0	18	0.70	1	2	1.404	branch1	0.42	1.08
2.0	0.059	9	0	18	0.70	0	1	1.404	branch1	1.00	1.08
2.0	0.075	7	3	17	0.70	1	3	1.933	branch1	0.61	1.17
1.75	0.060	7	3	17	0.70	1	3	1.909	branch1	0.66	1.02
2.0	0.060	8	2	18	0.72	0	1	1.548	branch1	0.10	0.96
2.0	0.060	8	2	18	0.72	0	1	1.548	branch1	1.00	0.96
2.0	0.060	8	2	18	0.72	1	2	1.548	branch1	0.45	0.96
2.0	0.072	6	5	17	0.75	2	4	2.262	branch1	0.46	3.31
2.0	0.071	9	1	19	0.75	2	4	1.476	branch1	1.00	0.85
2.0	0.072	6	5	17	0.75	2	4	1.997	branch2	0.20	0.73
2.0	0.072	6	5	17	0.75	1	3	1.997	branch2	0.70	0.73
2.0	0.072	6	5	17	0.75	1	3	2.262	branch1	0.30	3.31
1.75	0.059	8	3	19	0.77	2	4	2.166	branch1	0.13	2.31
1.75	0.059	8	3	19	0.77	1	3	2.166	branch1	1.00	2.31
2.0	0.070	8	3	19	0.77	2	4	2.182	branch1	0.14	3.06
2.0	0.070	8	3	19	0.77	1	3	2.182	branch1	1.00	3.06
2.0	0.075	10	0	20	0.78	2	4	2.342	branch1	1.00	3.25
1.75	0.060	10	0	20	0.78	1	3	1.484	branch1	1.00	1.10
2.0	0.075	10	0	20	0.78	1	3	2.342	branch1	0.17	3.25
1.75	0.059	9	2	20	0.79	2	4	2.262	branch1	1.00	2.52
2.0	0.074	9	2	20	0.79	1	3	1.564	branch2	1.00	0.99
1.75	0.059	9	2	20	0.79	1	3	2.262	branch1	0.14	2.52
1.75	0.059	9	2	20	0.79	1	3	1.556	branch2	1.00	0.97
2.0	0.074	9	2	20	0.79	2	4	2.286	branch1	1.00	3.46
2.0	0.074	9	2	20	0.79	1	3	2.286	branch1	0.13	3.46
